"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Left Breast","18-Nov.-2018 7:16 pm","18-Nov.-2018 7:22 pm",""
"Feeding","Meal","18-Nov.-2018 6:40 pm","18-Nov.-2018 6:40 pm",""
"Diapering","Pee","18-Nov.-2018 5:35 pm","18-Nov.-2018 5:35 pm",""
"Sleep","","18-Nov.-2018 2:37 pm","18-Nov.-2018 3:21 pm",""
"Feeding","Right Breast","18-Nov.-2018 2:30 pm","18-Nov.-2018 2:37 pm",""
"Feeding","Meal","18-Nov.-2018 2:00 pm","18-Nov.-2018 2:00 pm",""
"Diapering","Pee","18-Nov.-2018 1:49 pm","18-Nov.-2018 1:49 pm",""
"Feeding","Meal","18-Nov.-2018 12:58 pm","18-Nov.-2018 12:58 pm","mango and yogurt "
"Sleep","","18-Nov.-2018 10:29 am","18-Nov.-2018 11:23 am",""
"Feeding","Left Breast","18-Nov.-2018 10:21 am","18-Nov.-2018 10:29 am",""
"Feeding","Meal","18-Nov.-2018 8:42 am","18-Nov.-2018 8:42 am",""
"Diapering","Pee","18-Nov.-2018 8:22 am","18-Nov.-2018 8:22 am",""
"Feeding","Right Breast","18-Nov.-2018 8:12 am","18-Nov.-2018 8:21 am",""
"Sleep","","17-Nov.-2018 10:37 pm","18-Nov.-2018 8:06 am",""
"Feeding","Left Breast","17-Nov.-2018 10:27 pm","17-Nov.-2018 10:36 pm",""
"Health","Medication","17-Nov.-2018 10:23 pm","17-Nov.-2018 10:23 pm","Panadol & infant "
"Feeding","Meal","17-Nov.-2018 8:58 pm","17-Nov.-2018 8:58 pm",""
"Diapering","Poo","17-Nov.-2018 7:08 pm","17-Nov.-2018 7:08 pm",""
"Feeding","Meal","17-Nov.-2018 6:10 pm","17-Nov.-2018 6:10 pm",""
"Diapering","Pee & Poo","17-Nov.-2018 5:55 pm","17-Nov.-2018 5:55 pm",""
"Sleep","","17-Nov.-2018 5:07 pm","17-Nov.-2018 5:52 pm",""
"Feeding","Right Breast","17-Nov.-2018 4:13 pm","17-Nov.-2018 4:15 pm",""
"Feeding","Right Breast","17-Nov.-2018 4:03 pm","17-Nov.-2018 4:09 pm",""
"Diapering","Pee","17-Nov.-2018 3:10 pm","17-Nov.-2018 3:10 pm",""
"Sleep","","17-Nov.-2018 1:30 pm","17-Nov.-2018 3:00 pm",""
"Feeding","Left Breast","17-Nov.-2018 1:23 pm","17-Nov.-2018 1:30 pm",""
"Feeding","Meal","17-Nov.-2018 11:50 am","17-Nov.-2018 11:50 am",""
"Diapering","Pee & Poo","17-Nov.-2018 11:29 am","17-Nov.-2018 11:29 am",""
"Sleep","","17-Nov.-2018 9:44 am","17-Nov.-2018 11:14 am",""
"Feeding","Right Breast","17-Nov.-2018 9:35 am","17-Nov.-2018 9:43 am",""
"Feeding","Meal","17-Nov.-2018 8:30 am","17-Nov.-2018 8:30 am",""
"Diapering","Pee","17-Nov.-2018 8:15 am","17-Nov.-2018 8:15 am",""
"Health","Medication","17-Nov.-2018 8:00 am","17-Nov.-2018 8:00 am","Coloxal and cough syrup "
"Sleep","","17-Nov.-2018 1:37 am","17-Nov.-2018 7:48 am",""
"Feeding","Left Breast","17-Nov.-2018 1:16 am","17-Nov.-2018 1:23 am",""
"Sleep","","16-Nov.-2018 10:26 pm","17-Nov.-2018 1:10 am",""
"Health","Medication","16-Nov.-2018 10:14 pm","16-Nov.-2018 10:14 pm",""
"Health","Medication","16-Nov.-2018 10:13 pm","16-Nov.-2018 10:13 pm","Panadol "
"Feeding","Right Breast","16-Nov.-2018 10:12 pm","16-Nov.-2018 10:24 pm",""
"Leisure","Bath time","16-Nov.-2018 9:32 pm","16-Nov.-2018 10:00 pm",""
"Diapering","Pee & Poo","16-Nov.-2018 9:30 pm","16-Nov.-2018 9:30 pm",""
"Health","Medication","16-Nov.-2018 8:40 pm","16-Nov.-2018 8:40 pm","coloxal "
"Feeding","Meal","16-Nov.-2018 8:19 pm","16-Nov.-2018 8:19 pm","lamb veg & chickpeas "
"Feeding","Left Breast","16-Nov.-2018 7:44 pm","16-Nov.-2018 7:53 pm",""
"Diapering","Pee & Poo","16-Nov.-2018 7:39 pm","16-Nov.-2018 7:39 pm",""
"Leisure","Outdoors","16-Nov.-2018 5:45 pm","16-Nov.-2018 6:30 pm",""
"Sleep","","16-Nov.-2018 3:56 pm","16-Nov.-2018 5:05 pm",""
"Feeding","Right Breast","16-Nov.-2018 2:53 pm","16-Nov.-2018 2:59 pm",""
"Diapering","Pee","16-Nov.-2018 2:40 pm","16-Nov.-2018 2:40 pm",""
"Sleep","","16-Nov.-2018 2:10 pm","16-Nov.-2018 2:26 pm",""
"Feeding","Meal","16-Nov.-2018 1:30 pm","16-Nov.-2018 1:30 pm","yogurt "
"Feeding","Meal","16-Nov.-2018 12:50 pm","16-Nov.-2018 12:50 pm","fruits "
"Feeding","Left Breast","16-Nov.-2018 12:13 pm","16-Nov.-2018 12:17 pm",""
"Sleep","","16-Nov.-2018 10:02 am","16-Nov.-2018 11:40 am",""
"Sleep","","16-Nov.-2018 9:45 am","16-Nov.-2018 10:00 am",""
"Diapering","Pee","16-Nov.-2018 9:28 am","16-Nov.-2018 9:28 am",""
"Health","Medication","16-Nov.-2018 9:15 am","16-Nov.-2018 9:15 am","collxal"
"Feeding","Meal","16-Nov.-2018 9:09 am","16-Nov.-2018 9:09 am","porridge watermelon"
"Sleep","","16-Nov.-2018 3:49 am","16-Nov.-2018 8:05 am",""
"Feeding","Right Breast","16-Nov.-2018 3:44 am","16-Nov.-2018 3:48 am",""
"Sleep","","16-Nov.-2018 3:20 am","16-Nov.-2018 3:41 am",""
"Diapering","Pee","16-Nov.-2018 2:30 am","16-Nov.-2018 2:30 am",""
"Feeding","Right Breast","16-Nov.-2018 1:52 am","16-Nov.-2018 2:00 am",""
